Customer ID,Age,Gender,Location,Annual Income,Purchase History,Browsing History,Time on Site,Income Tier,Region,Time on Site Tier
1011,48,Female,City A,55811,"[{""Purchase Date"": ""2025-03-30"", ""Product Category"": ""Clothing"", ""Price"": 612.74, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 3}}, {""Purchase Date"": ""2024-05-14"", ""Product Category"": ""Home & Garden"", ""Price"": 873.01, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 3}}, {""Purchase Date"": ""2024-11-17"", ""Product Category"": ""Clothing"", ""Price"": 82.06, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 3}}, {""Purchase Date"": ""2024-12-17"", ""Product Category"": ""Clothing"", ""Price"": 891.8, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 3}}]","[{""Timestamp"": ""2025-04-27T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-12-04T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2024-09-01T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2024-10-25T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2025-03-01T11:09:23Z"", ""Product Category"": ""Electronics""}]",438.9,Medium,Region 1,Very Long
1012,54,Female,City T,78726,"[{""Purchase Date"": ""2024-05-17"", ""Product Category"": ""Home & Garden"", ""Price"": 989.97, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 4}}, {""Purchase Date"": ""2024-06-08"", ""Product Category"": ""Electronics"", ""Price"": 427.45, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 4}}, {""Purchase Date"": ""2024-06-25"", ""Product Category"": ""Electronics"", ""Price"": 298.84, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 4}}, {""Purchase Date"": ""2024-06-20"", ""Product Category"": ""Electronics"", ""Price"": 933.53, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 4}}]","[{""Timestamp"": ""2025-01-02T11:09:23Z"", ""Product Category"": ""Electronics""}]",443.1,Medium,Region 2,Very Long
1013,56,Male,City U,70970,"[{""Purchase Date"": ""2024-11-18"", ""Product Category"": ""Electronics"", ""Price"": 118.17, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 1}}, {""Purchase Date"": ""2024-10-14"", ""Product Category"": ""Home & Garden"", ""Price"": 369.21, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 1}}, {""Purchase Date"": ""2025-01-21"", ""Product Category"": ""Clothing"", ""Price"": 305.17, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 1}}, {""Purchase Date"": ""2024-09-16"", ""Product Category"": ""Electronics"", ""Price"": 839.62, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 1}}]","[{""Timestamp"": ""2025-04-05T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2025-04-30T11:09:23Z"", ""Product Category"": ""Home & Garden""}]",87.9,Medium,Region 3,Short
1014,19,Male,City Z,39985,"[{""Purchase Date"": ""2025-02-24"", ""Product Category"": ""Electronics"", ""Price"": 971.52, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 4}}, {""Purchase Date"": ""2024-06-20"", ""Product Category"": ""Home & Garden"", ""Price"": 787.37, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 4}}, {""Purchase Date"": ""2024-12-27"", ""Product Category"": ""Electronics"", ""Price"": 298.39, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 4}}, {""Purchase Date"": ""2025-05-02"", ""Product Category"": ""Home & Garden"", ""Price"": 376.04, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 4}}]","[{""Timestamp"": ""2024-10-03T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-09-05T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2024-10-13T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2024-09-11T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2024-05-23T11:09:23Z"", ""Product Category"": ""Clothing""}]",23.4,Low,Region 4,Short
1015,32,Male,City Z,52532,"[{""Purchase Date"": ""2024-10-11"", ""Product Category"": ""Home & Garden"", ""Price"": 246.73, ""Product Review"": {""Review Text"": ""Good product, but could be better."", ""Rating"": 5}}, {""Purchase Date"": ""2025-01-08"", ""Product Category"": ""Home & Garden"", ""Price"": 666.39, ""Product Review"": {""Review Text"": ""Good product, but could be better."", ""Rating"": 5}}]","[{""Timestamp"": ""2025-01-21T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-12-01T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2024-09-21T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2024-12-21T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2025-04-24T11:09:23Z"", ""Product Category"": ""Clothing""}]",459.1,Medium,Region 4,Very Long
1016,21,Female,City X,68961,"[{""Purchase Date"": ""2024-05-12"", ""Product Category"": ""Electronics"", ""Price"": 547.4, ""Product Review"": {""Review Text"": ""Good product, but could be better."", ""Rating"": 1}}]","[{""Timestamp"": ""2024-11-11T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2024-05-08T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-05-22T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2025-03-23T11:09:23Z"", ""Product Category"": ""Electronics""}]",254.2,Medium,Region 5,Long
1017,50,Male,City Y,86523,"[{""Purchase Date"": ""2025-04-23"", ""Product Category"": ""Home & Garden"", ""Price"": 258.26, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 1}}, {""Purchase Date"": ""2025-05-03"", ""Product Category"": ""Clothing"", ""Price"": 675.86, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 1}}, {""Purchase Date"": ""2024-11-23"", ""Product Category"": ""Electronics"", ""Price"": 154.22, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 1}}, {""Purchase Date"": ""2024-10-15"", ""Product Category"": ""Clothing"", ""Price"": 62.73, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 1}}]","[{""Timestamp"": ""2024-10-12T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-10-14T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2024-11-25T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2025-03-30T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2025-04-08T11:09:23Z"", ""Product Category"": ""Home & Garden""}]",36.6,High,Region 6,Short
1018,58,Female,City L,97400,"[{""Purchase Date"": ""2024-12-07"", ""Product Category"": ""Clothing"", ""Price"": 807.98, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 4}}, {""Purchase Date"": ""2025-03-01"", ""Product Category"": ""Electronics"", ""Price"": 245.38, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 4}}, {""Purchase Date"": ""2024-09-12"", ""Product Category"": ""Electronics"", ""Price"": 501.13, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 4}}, {""Purchase Date"": ""2024-11-02"", ""Product Category"": ""Home & Garden"", ""Price"": 546.29, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 4}}]","[{""Timestamp"": ""2025-04-03T11:09:23Z"", ""Product Category"": ""Home & Garden""}]",390.3,High,Region 7,Very Long
1019,27,Female,City M,57765,"[{""Purchase Date"": ""2024-07-12"", ""Product Category"": ""Clothing"", ""Price"": 655.71, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 2}}, {""Purchase Date"": ""2024-05-22"", ""Product Category"": ""Clothing"", ""Price"": 590.49, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 2}}, {""Purchase Date"": ""2024-06-19"", ""Product Category"": ""Clothing"", ""Price"": 438.99, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 2}}, {""Purchase Date"": ""2025-01-24"", ""Product Category"": ""Electronics"", ""Price"": 225.4, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 2}}]","[{""Timestamp"": ""2024-07-08T11:09:23Z"", ""Product Category"": ""Home & Garden""}]",93.1,Medium,Region 8,Short
1020,56,Female,City C,108483,"[{""Purchase Date"": ""2025-01-13"", ""Product Category"": ""Electronics"", ""Price"": 667.57, ""Product Review"": {""Review Text"": ""Good product, but could be better."", ""Rating"": 1}}]","[{""Timestamp"": ""2024-08-23T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2024-12-19T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2024-06-19T11:09:23Z"", ""Product Category"": ""Electronics""}]",63.3,High,Region 1,Short
1021,33,Male,City D,31974,"[{""Purchase Date"": ""2024-10-04"", ""Product Category"": ""Clothing"", ""Price"": 194.1, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 2}}, {""Purchase Date"": ""2024-09-22"", ""Product Category"": ""Electronics"", ""Price"": 367.64, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 2}}, {""Purchase Date"": ""2024-10-24"", ""Product Category"": ""Home & Garden"", ""Price"": 497.85, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 2}}]","[{""Timestamp"": ""2024-07-25T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2025-01-03T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2024-12-30T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2025-03-11T11:09:23Z"", ""Product Category"": ""Electronics""}]",137.0,Low,Region 2,Medium
1022,19,Male,City S,51354,"[{""Purchase Date"": ""2024-11-24"", ""Product Category"": ""Electronics"", ""Price"": 223.27, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 2}}, {""Purchase Date"": ""2025-05-02"", ""Product Category"": ""Clothing"", ""Price"": 975.86, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 2}}, {""Purchase Date"": ""2025-01-07"", ""Product Category"": ""Electronics"", ""Price"": 359.6, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 2}}]","[{""Timestamp"": ""2024-10-06T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2025-02-20T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-09-21T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2024-10-04T11:09:23Z"", ""Product Category"": ""Clothing""}]",316.3,Medium,Region 3,Very Long
1023,22,Male,City B,82762,"[{""Purchase Date"": ""2024-12-29"", ""Product Category"": ""Home & Garden"", ""Price"": 184.96, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 2}}, {""Purchase Date"": ""2025-01-29"", ""Product Category"": ""Clothing"", ""Price"": 53.79, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 2}}, {""Purchase Date"": ""2024-07-28"", ""Product Category"": ""Home & Garden"", ""Price"": 308.6, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 2}}]","[{""Timestamp"": ""2024-07-08T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2025-03-24T11:09:23Z"", ""Product Category"": ""Clothing""}]",267.1,High,Region 8,Long
1024,43,Male,City J,68448,"[{""Purchase Date"": ""2024-05-29"", ""Product Category"": ""Electronics"", ""Price"": 547.84, ""Product Review"": {""Review Text"": ""Average product."", ""Rating"": 2}}, {""Purchase Date"": ""2024-12-20"", ""Product Category"": ""Electronics"", ""Price"": 251.98, ""Product Review"": {""Review Text"": ""Average product."", ""Rating"": 2}}]","[{""Timestamp"": ""2024-09-11T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2025-01-30T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-06-22T11:09:23Z"", ""Product Category"": ""Home & Garden""}]",207.9,Medium,Region 4,Long
1025,24,Female,City O,48873,"[{""Purchase Date"": ""2025-03-10"", ""Product Category"": ""Home & Garden"", ""Price"": 764.56, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 4}}, {""Purchase Date"": ""2025-03-24"", ""Product Category"": ""Electronics"", ""Price"": 422.54, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 4}}, {""Purchase Date"": ""2024-06-22"", ""Product Category"": ""Clothing"", ""Price"": 360.65, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 4}}, {""Purchase Date"": ""2024-08-18"", ""Product Category"": ""Clothing"", ""Price"": 438.98, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 4}}]","[{""Timestamp"": ""2025-02-08T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2025-04-18T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-06-07T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-12-25T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2025-01-22T11:09:23Z"", ""Product Category"": ""Electronics""}]",38.2,Low,Region 5,Short
1026,62,Male,City D,70120,"[{""Purchase Date"": ""2025-04-24"", ""Product Category"": ""Home & Garden"", ""Price"": 285.78, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 4}}, {""Purchase Date"": ""2024-07-08"", ""Product Category"": ""Home & Garden"", ""Price"": 647.05, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 4}}, {""Purchase Date"": ""2024-09-19"", ""Product Category"": ""Clothing"", ""Price"": 92.59, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 4}}, {""Purchase Date"": ""2025-03-24"", ""Product Category"": ""Electronics"", ""Price"": 308.84, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 4}}]","[{""Timestamp"": ""2024-12-14T11:09:23Z"", ""Product Category"": ""Electronics""}]",488.8,Medium,Region 2,Very Long
1027,47,Male,City T,96277,"[{""Purchase Date"": ""2024-10-24"", ""Product Category"": ""Clothing"", ""Price"": 184.79, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 3}}, {""Purchase Date"": ""2024-12-08"", ""Product Category"": ""Electronics"", ""Price"": 228.3, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 3}}, {""Purchase Date"": ""2024-08-19"", ""Product Category"": ""Electronics"", ""Price"": 767.54, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 3}}, {""Purchase Date"": ""2024-10-12"", ""Product Category"": ""Home & Garden"", ""Price"": 415.06, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 3}}]","[{""Timestamp"": ""2024-09-06T11:09:23Z"", ""Product Category"": ""Home & Garden""}]",131.1,High,Region 2,Medium
1028,64,Male,City F,74106,"[{""Purchase Date"": ""2024-10-31"", ""Product Category"": ""Clothing"", ""Price"": 542.26, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 3}}, {""Purchase Date"": ""2024-11-03"", ""Product Category"": ""Electronics"", ""Price"": 147.87, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 3}}, {""Purchase Date"": ""2024-11-30"", ""Product Category"": ""Clothing"", ""Price"": 801.13, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 3}}, {""Purchase Date"": ""2025-02-11"", ""Product Category"": ""Home & Garden"", ""Price"": 363.27, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 3}}, {""Purchase Date"": ""2024-07-19"", ""Product Category"": ""Electronics"", ""Price"": 704.28, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 3}}]","[{""Timestamp"": ""2024-12-29T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-09-07T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2024-10-16T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2024-06-26T11:09:23Z"", ""Product Category"": ""Home & Garden""}]",387.4,Medium,Region 7,Very Long
1029,35,Female,City E,65311,"[{""Purchase Date"": ""2025-03-08"", ""Product Category"": ""Home & Garden"", ""Price"": 336.01, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 3}}]","[{""Timestamp"": ""2024-09-12T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2025-01-02T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2025-04-06T11:09:23Z"", ""Product Category"": ""Home & Garden""}]",459.0,Medium,Region 8,Very Long
1030,36,Female,City J,82756,"[{""Purchase Date"": ""2025-04-22"", ""Product Category"": ""Electronics"", ""Price"": 203.3, ""Product Review"": {""Review Text"": ""Average product."", ""Rating"": 3}}, {""Purchase Date"": ""2024-07-01"", ""Product Category"": ""Electronics"", ""Price"": 205.76, ""Product Review"": {""Review Text"": ""Average product."", ""Rating"": 3}}, {""Purchase Date"": ""2024-08-16"", ""Product Category"": ""Electronics"", ""Price"": 43.82, ""Product Review"": {""Review Text"": ""Average product."", ""Rating"": 3}}, {""Purchase Date"": ""2025-03-29"", ""Product Category"": ""Clothing"", ""Price"": 547.24, ""Product Review"": {""Review Text"": ""Average product."", ""Rating"": 3}}]","[{""Timestamp"": ""2025-03-09T11:09:23Z"", ""Product Category"": ""Home & Garden""}]",453.4,High,Region 4,Very Long
1031,38,Female,City X,64122,"[{""Purchase Date"": ""2024-08-10"", ""Product Category"": ""Home & Garden"", ""Price"": 130.5, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 5}}, {""Purchase Date"": ""2024-07-20"", ""Product Category"": ""Electronics"", ""Price"": 609.33, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 5}}]","[{""Timestamp"": ""2024-11-12T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-06-03T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2025-01-16T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2025-01-25T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2024-05-18T11:09:23Z"", ""Product Category"": ""Clothing""}]",55.8,Medium,Region 5,Short
1032,43,Female,City V,97172,"[{""Purchase Date"": ""2025-02-19"", ""Product Category"": ""Home & Garden"", ""Price"": 851.6, ""Product Review"": {""Review Text"": ""Good product, but could be better."", ""Rating"": 2}}]","[{""Timestamp"": ""2024-11-26T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2025-03-02T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2024-11-16T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-10-09T11:09:23Z"", ""Product Category"": ""Home & Garden""}]",158.1,High,Region 3,Medium
